Tabelle: 42153-0001
Index of production in manufacturing: Germany, months,;;
original and adjusted data, economic activities;;
(main groups and aggregates);;
Indices of production in manufacturing;;;
Germany;;;
Index of production (2021=100);;;
;;Original and adjusted data;
;;X13 JDemetra+  calendar and seasonally adjusted;
Industry;;;
2010;January;89.4;p
;February;88.5;p
;March;90.6;p
;April;92.4;p
;May;95.4;p
;June;94.4;p
;July;94.4;p
;August;95.6;p
;September;96.8;p
;October;98.9;p
;November;98.3;p
;December;100.2;p
2011;January;99.5;p
;February;100.5;p
;March;100.9;p
;April;101.1;p
;May;102.1;p
;June;100.5;p
;July;103.7;p
;August;102.9;p
;September;101.3;p
;October;102.5;p
;November;101.8;p
;December;100.7;p
2012;January;101.1;p
;February;101.5;p
;March;102.3;p
;April;100.8;p
;May;102.5;p
;June;101.4;p
;July;102.2;p
;August;102.4;p
;September;101.1;p
;October;99.7;p
;November;99.0;p
;December;99.5;p
2013;January;98.6;p
;February;99.3;p
;March;101.1;p
;April;101.0;p
;May;100.2;p
;June;102.0;p
;July;100.4;p
;August;102.4;p
;September;102.1;p
;October;101.4;p
;November;103.1;p
;December;103.3;p
2014;January;102.6;p
;February;102.6;p
;March;102.9;p
;April;102.5;p
;May;102.0;p
;June;102.1;p
;July;103.8;p
;August;100.1;p
;September;102.6;p
;October;102.9;p
;November;102.8;p
;December;104.5;p
2015;January;102.0;p
;February;103.1;p
;March;103.1;p
;April;103.9;p
;May;104.1;p
;June;104.0;p
;July;105.5;p
;August;102.9;p
;September;103.1;p
;October;104.0;p
;November;102.7;p
;December;103.2;p
2016;January;104.8;p
;February;104.6;p
;March;103.8;p
;April;104.5;p
;May;102.8;p
;June;104.7;p
;July;103.4;p
;August;105.0;p
;September;104.7;p
;October;105.4;p
;November;105.2;p
;December;102.8;p
2017;January;104.6;p
;February;105.4;p
;March;104.9;p
;April;106.9;p
;May;107.2;p
;June;107.0;p
;July;107.5;p
;August;110.0;p
;September;108.9;p
;October;107.3;p
;November;111.1;p
;December;110.3;p
2018;January;109.6;p
;February;107.8;p
;March;109.5;p
;April;108.8;p
;May;110.4;p
;June;110.1;p
;July;108.2;p
;August;109.7;p
;September;108.4;p
;October;108.1;p
;November;106.1;p
;December;107.3;p
2019;January;107.0;p
;February;106.4;p
;March;107.5;p
;April;106.0;p
;May;106.4;p
;June;105.1;p
;July;104.7;p
;August;105.1;p
;September;104.1;p
;October;103.5;p
;November;103.8;p
;December;101.4;p
2020;January;104.5;p
;February;105.1;p
;March;94.4;p
;April;74.2;p
;May;82.5;p
;June;92.1;p
;July;94.1;p
;August;94.0;p
;September;96.4;p
;October;100.1;p
;November;101.3;p
;December;101.2;p
2021;January;101.6;p
;February;99.5;p
;March;100.9;p
;April;101.0;p
;May;100.3;p
;June;98.3;p
;July;100.2;p
;August;95.2;p
;September;95.8;p
;October;99.3;p
;November;99.7;p
;December;100.9;p
2022;January;100.8;p
;February;101.0;p
;March;95.7;p
;April;97.7;p
;May;99.1;p
;June;99.4;p
;July;99.4;p
;August;98.6;p
;September;100.6;p
;October;99.3;p
;November;99.9;p
;December;97.9;p
2023;January;99.2;p
;February;101.3;p
;March;98.9;p
;April;98.0;p
;May;99.7;p
;June;97.3;p
;July;96.3;p
;August;96.4;p
;September;95.5;p
;October;95.2;p
;November;95.0;p
;December;93.6;p
2024;January;94.2;p
;February;95.0;p
;March;93.6;p
;April;94.1;p
;May;91.9;p
;June;93.5;p
;July;91.1;p
;August;93.5;p
;September;91.7;p
;October;91.2;p
;November;92.2;p
;December;91.0;p
2025;January;91.7;p
;February;91.2;p
;March;93.6;p
;April;91.6;p
;May;92.1;p
;June;91.8;p
;July;93.0;p
;August;89.8;p
;September;91.0;p
;October;92.4;p
;November;93.1;p
;December;91.5;p
Industry, except energy and construction;;;
2006;January;90.3;p
;February;90.7;p
;March;89.9;p
;April;92.0;p
;May;93.3;p
;June;92.8;p
;July;94.5;p
;August;95.0;p
;September;95.0;p
;October;94.8;p
;November;96.4;p
;December;97.3;p
2007;January;97.8;p
;February;98.2;p
;March;98.8;p
;April;97.8;p
;May;99.6;p
;June;99.5;p
;July;100.2;p
;August;100.5;p
;September;101.6;p
;October;101.7;p
;November;101.5;p
;December;102.4;p
2008;January;104.1;p
;February;103.7;p
;March;103.0;p
;April;103.2;p
;May;101.1;p
;June;102.3;p
;July;100.5;p
;August;102.5;p
;September;100.2;p
;October;98.0;p
;November;93.7;p
;December;90.3;p
2009;January;83.0;p
;February;80.4;p
;March;80.7;p
;April;78.4;p
;May;82.0;p
;June;82.6;p
;July;81.8;p
;August;82.8;p
;September;86.5;p
;October;84.7;p
;November;85.7;p
;December;85.7;p
2010;January;86.5;p
;February;85.7;p
;March;88.6;p
;April;90.2;p
;May;93.0;p
;June;92.7;p
;July;92.1;p
;August;93.6;p
;September;95.1;p
;October;97.1;p
;November;96.6;p
;December;98.2;p
2011;January;98.0;p
;February;99.1;p
;March;99.7;p
;April;100.3;p
;May;101.5;p
;June;99.9;p
;July;103.0;p
;August;102.1;p
;September;100.6;p
;October;101.7;p
;November;101.1;p
;December;99.6;p
2012;January;100.1;p
;February;100.0;p
;March;101.2;p
;April;99.4;p
;May;101.3;p
;June;100.1;p
;July;101.3;p
;August;101.2;p
;September;99.9;p
;October;98.5;p
;November;97.9;p
;December;98.7;p
2013;January;97.5;p
;February;98.2;p
;March;99.6;p
;April;99.9;p
;May;99.3;p
;June;101.1;p
;July;99.3;p
;August;101.5;p
;September;101.0;p
;October;100.3;p
;November;102.6;p
;December;102.7;p
2014;January;102.2;p
;February;102.3;p
;March;102.7;p
;April;102.3;p
;May;101.5;p
;June;101.6;p
;July;103.8;p
;August;99.5;p
;September;102.0;p
;October;102.1;p
;November;102.3;p
;December;104.0;p
2015;January;101.3;p
;February;102.1;p
;March;102.0;p
;April;103.0;p
;May;103.4;p
;June;103.1;p
;July;104.6;p
;August;102.0;p
;September;102.1;p
;October;103.2;p
;November;101.9;p
;December;102.5;p
2016;January;104.2;p
;February;104.1;p
;March;103.1;p
;April;103.9;p
;May;102.0;p
;June;104.1;p
;July;102.6;p
;August;104.2;p
;September;103.9;p
;October;104.9;p
;November;104.5;p
;December;102.1;p
2017;January;103.8;p
;February;104.9;p
;March;104.5;p
;April;106.2;p
;May;106.4;p
;June;106.4;p
;July;107.2;p
;August;109.4;p
;September;108.5;p
;October;106.7;p
;November;110.8;p
;December;110.0;p
2018;January;109.6;p
;February;107.3;p
;March;108.9;p
;April;108.6;p
;May;110.3;p
;June;109.8;p
;July;107.7;p
;August;108.9;p
;September;108.1;p
;October;108.0;p
;November;105.9;p
;December;107.0;p
2019;January;106.7;p
;February;106.3;p
;March;107.5;p
;April;106.0;p
;May;106.6;p
;June;105.3;p
;July;105.0;p
;August;105.3;p
;September;104.3;p
;October;103.6;p
;November;103.8;p
;December;101.2;p
2020;January;104.5;p
;February;105.3;p
;March;94.1;p
;April;73.3;p
;May;82.1;p
;June;91.7;p
;July;94.1;p
;August;93.6;p
;September;96.2;p
;October;100.0;p
;November;101.4;p
;December;101.4;p
2021;January;102.1;p
;February;99.9;p
;March;101.1;p
;April;100.8;p
;May;100.2;p
;June;98.2;p
;July;100.5;p
;August;94.6;p
;September;94.9;p
;October;98.8;p
;November;99.7;p
;December;101.1;p
2022;January;101.0;p
;February;100.6;p
;March;95.2;p
;April;96.9;p
;May;98.9;p
;June;99.2;p
;July;99.0;p
;August;98.5;p
;September;100.8;p
;October;100.3;p
;November;100.8;p
;December;98.6;p
2023;January;100.3;p
;February;102.5;p
;March;99.8;p
;April;99.2;p
;May;101.6;p
;June;99.0;p
;July;97.9;p
;August;98.2;p
;September;97.5;p
;October;96.7;p
;November;96.2;p
;December;94.3;p
2024;January;95.1;p
;February;96.5;p
;March;95.0;p
;April;95.5;p
;May;92.9;p
;June;94.6;p
;July;92.2;p
;August;94.7;p
;September;92.7;p
;October;92.8;p
;November;93.2;p
;December;91.7;p
2025;January;92.6;p
;February;92.2;p
;March;94.9;p
;April;92.9;p
;May;92.6;p
;June;92.5;p
;July;94.0;p
;August;90.4;p
;September;91.6;p
;October;92.8;p
;November;94.3;p
;December;92.7;p
Industry (ex. energy, constr., energy-intens.ind.);;;
2006;January;88.3;p
;February;88.8;p
;March;88.1;p
;April;90.0;p
;May;90.8;p
;June;90.6;p
;July;92.2;p
;August;92.9;p
;September;92.4;p
;October;92.6;p
;November;94.4;p
;December;94.1;p
2007;January;95.7;p
;February;96.3;p
;March;96.8;p
;April;96.0;p
;May;98.0;p
;June;97.9;p
;July;98.9;p
;August;99.0;p
;September;100.2;p
;October;100.4;p
;November;100.1;p
;December;101.0;p
2008;January;102.8;p
;February;102.6;p
;March;102.0;p
;April;102.3;p
;May;99.8;p
;June;101.2;p
;July;99.3;p
;August;101.3;p
;September;99.1;p
;October;96.8;p
;November;93.5;p
;December;90.6;p
2009;January;83.2;p
;February;79.8;p
;March;80.9;p
;April;77.7;p
;May;81.5;p
;June;81.7;p
;July;80.4;p
;August;81.3;p
;September;85.4;p
;October;83.2;p
;November;83.8;p
;December;84.2;p
2010;January;84.6;p
;February;83.8;p
;March;86.3;p
;April;87.9;p
;May;90.9;p
;June;90.6;p
;July;90.1;p
;August;91.4;p
;September;93.2;p
;October;95.6;p
;November;94.8;p
;December;97.2;p
2011;January;96.4;p
;February;97.6;p
;March;98.3;p
;April;98.7;p
;May;100.4;p
;June;98.6;p
;July;102.3;p
;August;101.5;p
;September;99.9;p
;October;101.2;p
;November;100.6;p
;December;99.6;p
2012;January;99.7;p
;February;99.7;p
;March;100.9;p
;April;98.4;p
;May;100.6;p
;June;99.5;p
;July;100.8;p
;August;100.8;p
;September;99.4;p
;October;97.9;p
;November;97.2;p
;December;98.2;p
2013;January;96.9;p
;February;97.9;p
;March;99.2;p
;April;99.8;p
;May;98.4;p
;June;100.6;p
;July;98.4;p
;August;101.6;p
;September;100.5;p
;October;99.4;p
;November;102.2;p
;December;102.1;p
2014;January;101.6;p
;February;101.9;p
;March;102.3;p
;April;101.8;p
;May;101.3;p
;June;101.4;p
;July;103.8;p
;August;99.1;p
;September;102.0;p
;October;102.2;p
;November;102.4;p
;December;104.1;p
2015;January;101.7;p
;February;102.6;p
;March;102.4;p
;April;103.4;p
;May;104.0;p
;June;103.4;p
;July;105.3;p
;August;102.1;p
;September;102.3;p
;October;103.8;p
;November;102.0;p
;December;103.0;p
2016;January;104.7;p
;February;104.4;p
;March;103.5;p
;April;104.6;p
;May;102.1;p
;June;104.9;p
;July;103.2;p
;August;104.8;p
;September;104.4;p
;October;105.7;p
;November;105.3;p
;December;102.3;p
2017;January;104.7;p
;February;105.8;p
;March;105.3;p
;April;107.0;p
;May;107.4;p
;June;107.2;p
;July;107.9;p
;August;110.5;p
;September;109.3;p
;October;107.4;p
;November;111.8;p
;December;110.9;p
2018;January;110.8;p
;February;108.5;p
;March;110.6;p
;April;110.0;p
;May;111.4;p
;June;111.1;p
;July;108.6;p
;August;110.3;p
;September;109.5;p
;October;109.5;p
;November;107.2;p
;December;108.3;p
2019;January;107.8;p
;February;107.4;p
;March;109.0;p
;April;107.4;p
;May;108.2;p
;June;106.7;p
;July;106.2;p
;August;106.6;p
;September;105.7;p
;October;104.6;p
;November;105.2;p
;December;102.3;p
2020;January;105.8;p
;February;106.1;p
;March;93.7;p
;April;70.8;p
;May;81.7;p
;June;92.8;p
;July;94.9;p
;August;93.6;p
;September;96.6;p
;October;100.5;p
;November;101.9;p
;December;101.5;p
2021;January;102.6;p
;February;100.8;p
;March;101.3;p
;April;101.1;p
;May;100.0;p
;June;98.0;p
;July;100.9;p
;August;93.9;p
;September;94.0;p
;October;98.6;p
;November;99.4;p
;December;100.8;p
2022;January;101.1;p
;February;101.0;p
;March;94.8;p
;April;97.0;p
;May;99.7;p
;June;100.1;p
;July;100.2;p
;August;99.9;p
;September;102.7;p
;October;102.7;p
;November;103.4;p
;December;101.7;p
2023;January;103.0;p
;February;105.6;p
;March;102.7;p
;April;102.2;p
;May;105.1;p
;June;102.2;p
;July;100.9;p
;August;101.2;p
;September;100.3;p
;October;99.6;p
;November;98.8;p
;December;97.2;p
2024;January;97.7;p
;February;98.6;p
;March;97.0;p
;April;97.7;p
;May;94.6;p
;June;96.4;p
;July;93.8;p
;August;96.8;p
;September;94.9;p
;October;95.0;p
;November;95.3;p
;December;93.8;p
2025;January;94.7;p
;February;94.2;p
;March;97.0;p
;April;94.9;p
;May;94.8;p
;June;94.9;p
;July;96.7;p
;August;92.2;p
;September;93.7;p
;October;95.1;p
;November;97.0;p
;December;95.3;p
Industry(ex. energy,constr.,energy-intens.ind.,29);;;
2006;January;-;
;February;-;
;March;-;
;April;-;
;May;-;
;June;-;
;July;-;
;August;-;
;September;-;
;October;-;
;November;-;
;December;-;
2007;January;-;
;February;-;
;March;-;
;April;-;
;May;-;
;June;-;
;July;-;
;August;-;
;September;-;
;October;-;
;November;-;
;December;-;
